1-800 FLOWERS COM FLWS
1ST SOURCE CORP SRCE
2U INC TWOU
6D GLOBAL TECHNOLOGIES SIXD
8X8 INC NEW EGHT
A V HOMES INC AVHI
A10 NETWORKS INC ATEN
AAC HOLDINGS INC AAC
AAON INC AAON
AAR CORP AIR
ABAXIS INC ABAX
ABENGOA YIELD PLC ABY
ABEONA THERAPEUTICS INC ABEO
ABERCROMBIE & FITCH ANF
ABIOMED INC ABMD
ABM INDUSTRIES INC ABM
ABRAXAS PETE CORP AXAS
ACACIA RESEARCH CORP ACTG
ACADIA PHARMACEUTICALS ACAD
ACADIA REALTY TRUST AKR
ACCELERATE DIAGNOSTICS AXDX
ACCELERON PHARMA INC XLRN
ACCESS NATL CORP ANCX
ACCO BRANDS CORP ACCO
ACCURAY INC ARAY
ACCURIDE CORP ACW
ACETO CORP ACET
ACHILLION PHARM ACHN
ACI WORLDWIDE INC ACIW
ACORDA THERAPEUTICS INC ACOR
ACTUA CORPORATION ACTA
ACTUANT CORP ATU
ACXIOM CORP ACXM
ADAMAS PHARMACEUTICALS ADMS
Company Ticker
ADAMS RESOURCES & ENERG AE
ADDUS HOMECARE CORP ADUS
ADEPTUS HEALTH INC ADPT
ADTRAN INC ADTN
ADURO BIOTECH INC ADRO
ADVANCED DRAINAGE SYSTE WMS
ADVANCED ENERGY INDS IN AEIS
ADVANCED MICRO DEVICES AMD
ADVAXIS INC ADXS
ADVENT SOFTWARE INC ADVS
ADVISORY BOARD CO ABCO
AEGERION PHARM INC AEGR
AEGION CORP AEGN
AEP INDUSTRIES INC AEPI
AERIE PHARMACEUTICALS AERI
AEROHIVE NETWORKS INC HIVE
AEROJET ROCKETDYNE HLDG AJRD
AEROVIRONMENT INC AVAV
AFFIMED NV AFMD
AFFYMETRIX INC AFFX
AG MORTGAGE INVT TR INC MITT
AGENUS INC AGEN
AGILE THERAPEUTICS INC AGRX
AGILYSYS INC AGYS
AGREE REALTY CORP ADC
AIR METHODS CORP AIRM
AIR TRANSPORT SERVICES ATSG
AIRCASTLE LTD AYR
AK STEEL HOLDING CORP AKS
AKEBIA THERAPEUTICS INC AKBA
ALAMO GROUP INC ALG
ALBANY INTERNATIONAL AIN
ALBANY MOLECULAR RESRCH AMRI
ALDER BIOPHARMACEUTICAL ALDR
As of 6/26/2015 Russell Indexes.
Company Ticker
ALEXANDER & BALDWIN INC ALEX
ALEXANDERS INC ALX
ALICO INC ALCO
ALIMERA SCIENCES INC ALIM
ALLEGIANT TRAVEL CO ALGT
ALLETE INC ALE
ALLIANCE FIBER OPTIC AFOP
ALLIANCE HEALTHCARE SVC AIQ
ALLIED MOTION TECH AMOT
ALMOST FAMILY INC AFAM
ALON USA ENERGY INC ALJ
ALPHA & OMEGA SEMICON AOSL
ALTISOURCE ASSET MGMT AAMC
ALTISOURCE PORTFOLIO ASPS
ALTISOURCE RESIDENTIAL RESI
ALTRA INDUSTRIAL MOTION AIMC
AMAG PHARMACEUTICALS IN AMAG
AMBAC FINL GROUP INC AMBC
AMBARELLA INC AMBA
AMBER RD INC AMBR
AMC ENTERTAINMENT AMC
AMEDISYS INC AMED
AMER PUBLIC EDUCATION APEI
AMERESCO INC AMRC
AMERICAN ASSETS TRST IN AAT
AMERICAN AXLE & MFG AXL
AMERICAN CAP MTG INVT MTGE
AMERICAN EAGLE OUTFITTE AEO
AMERICAN EQUITY INVST AEL
AMERICAN NATL BANKSHARE AMNB
AMERICAN RAILCAR IND ARII
AMERICAN RESIDENTIAL PP ARPI
AMERICAN SCIENCE & ENGR ASEI
AMERICAN SOFTWARE INC AMSWA
AMERICAN STATES WATER C AWR
AMERICAN VANGUARD CORP AVD
AMERICAN WOODMARK CORP AMWD
AMERICAS CAR-MART INC CRMT
AMERIS BANCORP ABCB
Company Ticker
AMERISAFE INC AMSF
AMES NATL CORP ATLO
AMICUS THERAPEUTICS INC FOLD
AMKOR TECHNOLOGY INC AMKR
AMN HEALTHCARE SERVICES AHS
AMPHASTAR PHARMA INC AMPH
AMSURG CORP AMSG
